Epochs,RMSE
1,2.6237473487854004
2,1.6002830266952515
3,0.9279200434684753
4,0.7338706254959106
5,0.6501715183258057
6,0.612392246723175
7,0.5371941924095154
8,0.4797024130821228
9,0.45470327138900757
10,0.44473060965538025
11,0.4229189455509186
12,0.38547366857528687
13,0.40072697401046753
14,0.3659200668334961
15,0.3744176924228668
16,0.34617823362350464
17,0.346079021692276
18,0.3146995007991791
19,0.32933226227760315
20,0.3034001290798187
21,0.2803129255771637
22,0.27555111050605774
23,0.28930413722991943
24,0.27321141958236694
25,0.26459822058677673
26,0.2769649624824524
27,0.25818467140197754
28,0.28037428855895996
29,0.2501208186149597
30,0.2568569481372833
